source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0070062,extracellular exosome,2.887951202805326e-20,True,"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]",2178,148,64,18964,0.43243243243243246,0.02938475665748393,query_1,"['GO:0005615', 'GO:1903561']"
GO:CC,GO:1903561,extracellular vesicle,2.281738998774397e-19,True,"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]",2263,148,64,18964,0.43243243243243246,0.02828104286345559,query_1,"['GO:0031982', 'GO:0065010']"
GO:CC,GO:0043230,extracellular organelle,2.3926495740509185e-19,True,"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]",2265,148,64,18964,0.43243243243243246,0.0282560706401766,query_1,"['GO:0005576', 'GO:0043226']"
GO:CC,GO:0065010,extracellular membrane-bounded organelle,2.3926495740509185e-19,True,"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]",2265,148,64,18964,0.43243243243243246,0.0282560706401766,query_1,"['GO:0043227', 'GO:0043230']"
GO:CC,GO:0031982,vesicle,3.3021132470840854e-15,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",4058,148,79,18964,0.5337837837837838,0.019467718087727945,query_1,['GO:0043227']
GO:CC,GO:0005615,extracellular space,1.106727078105444e-12,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3595,148,70,18964,0.47297297297297297,0.019471488178025034,query_1,"['GO:0005576', 'GO:0110165']"
GO:CC,GO:0005576,extracellular region,1.359265178770722e-11,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4564,148,78,18964,0.527027027027027,0.017090271691498685,query_1,['GO:0110165']
HPA,HPA:0130051,colon; glandular cells[≥Low],5.602123446666542e-09,True,colon; glandular cells[≥Low],7473,109,103,10877,0.944954128440367,0.01378295196039074,query_1,['HPA:0130000']
HPA,HPA:0130052,colon; glandular cells[≥Medium],3.5021412958133275e-08,True,colon; glandular cells[≥Medium],6333,109,94,10877,0.8623853211009175,0.014842886467708826,query_1,['HPA:0130051']
HPA,HPA:0130000,colon,6.13782646533211e-08,True,colon,8020,109,105,10877,0.963302752293578,0.013092269326683292,query_1,['HPA:0000000']
HPA,HPA:0400000,rectum,1.013238871775013e-07,True,rectum,7555,109,102,10877,0.9357798165137615,0.013500992720052944,query_1,['HPA:0000000']
HPA,HPA:0400051,rectum; glandular cells[≥Low],1.013238871775013e-07,True,rectum; glandular cells[≥Low],7555,109,102,10877,0.9357798165137615,0.013500992720052944,query_1,['HPA:0400000']
